0,1
said,49413
little,27543
would,27050
could,22548
like,17991
time,16011
came,15136
never,14633
good,14135
went,14056
know,13884
well,13864
come,13341
away,12060
great,11810
back,11648
long,11239
much,11213
must,11153
made,11134
thought,10476
king,9527
think,9196
eyes,8977
upon,8935
looked,8747
home,8484
mother,8472
head,8316
last,8297
first,8190
tell,8105
shall,7947
house,7896
night,7866
make,7855
ever,7768
asked,7653
take,7625
look,7493
took,7323
people,7047
told,7044
found,7041
might,7007
going,6975
father,6971
still,6958
every,6929
nothing,6915
quite,6907
cried,6787
young,6757
always,6740
knew,6729
even,6686
face,6674
prince,6576
heard,6576
right,6497
hand,6339
things,6165
give,6126
peter,6073
thing,6068
began,6061
soon,5981
place,5967
many,5940
life,5919
girl,5882
poor,5833
till,5818
something,5809
three,5794
though,5692
seemed,5525
dear,5524
another,5461
round,5460
heart,5444
without,5361
find,5344
door,5342
white,5324
room,5307
left,5285
gave,5229
woman,5187
water,5129
world,5066
done,4933
miss,4873
better,4869
answered,4854
enough,4828
morning,4798
seen,4769
felt,4737
children,4661
looking,4634
want,4611
next,4589
tree,4463
mind,4412
anne,4365
child,4337
years,4291
anything,4290
stood,4233
called,4221
sure,4215
green,4188
beautiful,4122
hands,4089
turned,4085
voice,4060
love,4057
moment,4026
wife,4012
work,3968
gone,3901
half,3892
help,3881
course,3818
story,3799
happy,3758
keep,3744
best,3739
really,3731
side,3691
princess,3683
thou,3678
behind,3676
full,3651
whole,3501
brought,3498
days,3495
along,3461
fell,3447
replied,3427
together,3416
black,3373
hard,3337
rather,3306
among,3294
pretty,3256
hear,3242
kind,3222
almost,3218
lady,3200
word,3144
aunt,3133
name,3101
perhaps,3098
queen,3044
believe,3020
words,3009
evening,2998
light,2988
however,2982
near,2969
feet,2967
fire,2949
wish,2949
since,2931
coming,2926
indeed,2923
rose,2909
daughter,2887
dead,2886
small,2877
boys,2858
rest,2843
friend,2818
everything,2817
wanted,2817
matter,2809
forest,2806
open,2793
brown,2789
horse,2788
says,2770
alone,2764
also,2702
hair,2688
kept,2678
feel,2654
care,2646
grew,2643
leave,2643
happened,2631
dark,2600
lost,2587
around,2586
suddenly,2585
afraid,2582
lived,2552
money,2548
glad,2531
else,2523
window,2504
part,2468
ground,2463
john,2461
sight,2458
gold,2448
used,2432
brother,2429
master,2424
blue,2423
live,2417
jack,2413
tried,2408
ready,2407
across,2405
sent,2404
sitting,2401
times,2388
wood,2378
large,2373
bring,2368
saying,2358
friends,2348
country,2338
girls,2337
table,2327
hope,2325
passed,2324
four,2323
year,2300
taken,2299
high,2294
call,2287
uncle,2285
true,2277
often,2270
death,2267
fine,2263
talk,2232
palace,2220
bear,2197
laughed,2193
wind,2185
speak,2182
golden,2178
returned,2172
least,2162
sister,2161
sleep,2151
mean,2150
garden,2141
reached,2134
strange,2115
trees,2109
held,2108
others,2089
thee,2075
caught,2071
fellow,2058
given,2046
fast,2039
cold,2014
turn,1991
spoke,1981
walked,1973
town,1962
suppose,1957
sometimes,1957
longer,1956
sweet,1938
sound,1937
earth,1935
show,1933
sort,1933
stay,1924
opened,1924
family,1919
reddy,1919
river,1918
mary,1918
thinking,1908
remember,1907
fear,1904
became,1902
snow,1900
read,1895
making,1892
hold,1891
flew,1885
whose,1884
close,1884
farmer,1884
trouble,1872
play,1872
wild,1867
road,1866
certainly,1862
arms,1861
hour,1857
stopped,1834
nice,1828
tired,1823
able,1822
husband,1819
five,1815
bright,1812
fairy,1801
land,1798
second,1784
mouth,1781
real,1773
carried,1772
bird,1768
understand,1760
known,1749
followed,1748
need,1745
strong,1736
rabbit,1735
hill,1733
dinner,1721
captain,1710
short,1708
feeling,1703
stone,1697
foot,1694
getting,1693
school,1689
already,1686
married,1666
laid,1664
wait,1655
hundred,1650
grandfather,1647
wonder,1643
loved,1643
flowers,1642
business,1636
started,1635
billy,1623
towards,1617
ship,1616
please,1612
deep,1610
standing,1610
instead,1607
food,1603
taking,1598
idea,1584
hardly,1584
answer,1579
none,1578
comes,1572
book,1571
lovely,1568
body,1568
straight,1567
whether,1565
died,1553
appeared,1538
corner,1529
dick,1529
tail,1524
letter,1523
drew,1522
thus,1522
asleep,1515
tears,1514
nobody,1508
trying,1498
ought,1498
castle,1494
laughing,1491
return,1491
walk,1484
youth,1478
laugh,1477
forth,1469
doctor,1468
birds,1467
certain,1466
spring,1465
frog,1458
added,1453
minute,1450
everybody,1449
beside,1444
fair,1443
either,1441
mine,1433
legs,1432
boat,1432
fish,1431
liked,1429
dress,1429
silver,1427
meant,1423
church,1423
giant,1422
wonderful,1421
stop,1418
merry,1413
within,1413
late,1410
seven,1406
sorry,1402
nearly,1402
waiting,1400
marry,1397
general,1396
fact,1395
stand,1391
carry,1391
sara,1388
summer,1380
seem,1380
order,1378
lord,1371
wall,1370
past,1367
neither,1366
several,1363
deal,1357
smile,1357
threw,1354
clear,1352
fall,1345
except,1343
clothes,1343
marilla,1342
warm,1341
soul,1341
front,1339
terrible,1336
knows,1330
seeing,1328
watch,1328
baby,1325
running,1322
early,1320
talking,1317
johnny,1317
filled,1315
third,1312
meet,1308
become,1306
truth,1305
minutes,1303
frightened,1302
week,1299
rich,1298
person,1297
angry,1296
quiet,1296
smiling,1293
brothers,1288
pleased,1286
slowly,1286
pleasant,1286
chance,1278
shore,1276
gentleman,1270
catch,1268
less,1267
heads,1265
soft,1264
present,1263
whale,1261
reason,1260
alice,1260
nature,1259
wished,1252
struck,1250
nose,1249
free,1248
living,1247
winter,1246
shut,1246
forget,1244
exclaimed,1243
grass,1242
breath,1240
shook,1235
quickly,1234
beauty,1234
safe,1230
watched,1229
lying,1227
thank,1227
tall,1226
broken,1224
twenty,1222
neck,1222
women,1219
leaves,1212
afternoon,1208
broke,1208
killed,1202
thousand,1201
mouse,1198
outside,1197
kill,1195
hall,1195
inside,1194
ears,1188
shadow,1188
stranger,1188
toad,1181
creature,1179
heavy,1175
floor,1173
presently,1173
grown,1172
point,1169
yellow,1167
street,1164
forward,1164
cannot,1163
middle,1162
entered,1161
dreadful,1160
piece,1158
send,1157
city,1155
seems,1154
possible,1147
case,1147
bread,1146
doubt,1145
manner,1145
hungry,1141
splendid,1140
secret,1138
news,1138
village,1138
kitchen,1137
chair,1135
gray,1134
surprise,1129
dream,1128
blood,1128
question,1126
change,1124
showed,1123
wide,1120
ones,1119
power,1113
besides,1106
different,1099
spite,1098
ring,1095
listen,1094
means,1093
whispered,1092
hung,1091
dropped,1091
island,1091
wendy,1091
length,1089
forgotten,1085
continued,1085
forgot,1083
dragon,1083
waited,1082
hours,1081
pleasure,1080
fight,1080
paper,1079
sammy,1079
pale,1078
drink,1078
spirit,1076
wrong,1075
jimmy,1075
rock,1072
makes,1070
music,1070
pass,1069
remembered,1068
maiden,1067
sword,1063
sharp,1063
save,1062
hurt,1061
although,1061
step,1059
easy,1058
path,1058
silence,1057
gate,1056
coat,1055
guess,1050
promised,1048
therefore,1047
later,1047
covered,1046
beyond,1044
glass,1042
grow,1037
handsome,1035
company,1034
exactly,1030
tone,1030
lips,1020
busy,1019
moon,1018
quick,1016
lion,1015
promise,1015
talked,1009
proud,1009
hole,1008
chuck,1008
finished,1003
lives,1003
anyone,998
usual,995
wolf,995
whatever,994
turning,994
books,993
changed,993
morrow,991
sudden,988
listened,988
horses,987
arrived,984
wise,984
learned,983
heaven,983
born,981
cross,974
field,973
smiled,973
surprised,972
fresh,971
court,969
wings,969
crying,968
spot,968
party,967
worse,967
wicked,959
pulled,959
pool,957
fancy,954
wedding,953
watching,952
steps,951
pocket,950
mountain,950
jerry,950
iron,949
begin,949
follow,945
christmas,943
beginning,940
dressed,939
supper,938
peace,936
visit,933
fond,931
miles,930
shoes,930
picture,929
witch,926
remained,922
looks,919
west,917
leaving,914
pieces,914
felicity,912
human,909
goes,905
magic,905
learn,903
journey,901
begged,900
shoulder,899
faith,898
anxious,897
danger,896
expected,896
ladies,895
distance,892
worth,891
interest,891
immediately,891
breakfast,890
figure,887
happen,885
dare,885
brave,883
cousin,883
susan,879
received,878
state,873
strength,872
sick,872
sing,871
plain,870
foolish,869
queer,869
folks,867
granny,867
bank,866
pair,862
alive,862
decided,862
softly,861
thoughts,861
diana,859
dance,856
bound,856
jumped,855
telling,855
easily,852
tongue,850
quietly,850
clock,850
perfectly,848
lightfoot,846
sense,844
milk,843
break,842
bell,840
song,840
meadow,838
meadows,837
line,835
bride,832
blow,831
pity,829
delight,829
basket,828
tommy,827
carefully,825
thick,824
gilbert,824
tiny,824
moved,822
touched,822
anybody,821
silent,821
shouted,820
hurry,819
flying,818
ordered,818
hunting,816
growing,814
pain,813
comfort,813
shot,811
awful,810
stick,808
noise,806
afterwards,805
nearer,804
drove,802
walking,801
shining,801
skin,800
edge,800
fallen,800
beneath,796
hide,795
paul,795
instant,794
lifted,794
empty,792
slept,792
faces,792
placed,791
determined,789
knowing,788
george,788
likely,785
write,784
spread,784
teeth,783
hills,783
played,783
burst,782
giving,782
twelve,782
wore,781
singing,780
single,779
spent,778
reach,777
following,776
finally,775
especially,773
sisters,773
discovered,772
blacky,772
sprang,771
clever,770
form,770
flower,768
maid,768
grave,767
happiness,767
toward,767
rilla,766
bottom,763
north,763
woods,763
hurried,760
sake,759
unless,759
jane,759
rode,758
harm,758
touch,758
everyone,757
beat,753
letters,753
months,752
noticed,749
written,749
rain,748
plenty,748
crept,746
